Date,Open,High,Low,Close,Adj Close,Volume
2003-10-24,85.00,85.60,84.66,85.27,42.24,1412200
2003-10-27,85.15,85.33,84.80,85.10,42.16,346900
2003-10-28,84.85,85.69,84.57,85.55,42.38,2200300
2003-10-29,85.28,85.35,84.61,84.78,42.00,926600
2003-10-30,84.00,84.55,83.80,84.40,41.81,936300
2003-10-31,84.73,85.22,83.74,85.19,42.20,887400
2003-11-03,84.56,84.58,84.04,84.44,42.00,957700
2003-11-04,84.65,84.97,84.59,84.92,42.24,246500
2003-11-05,84.82,84.82,84.26,84.34,41.95,275100
2003-11-06,83.77,83.92,83.50,83.55,41.56,861600
2003-11-07,83.12,83.59,83.05,83.50,41.53,725700
2003-11-10,83.60,83.84,83.20,83.43,41.50,553900
2003-11-11,83.45,83.50,83.36,83.44,41.50,99900
2003-11-12,83.86,84.15,83.79,84.05,41.81,321400
2003-11-13,84.60,85.37,84.54,85.35,42.45,920400
2003-11-14,85.30,85.96,85.20,85.92,42.74,484800
2003-11-17,86.14,86.59,85.95,86.05,42.80,695000
2003-11-18,85.97,86.61,85.78,86.58,43.07,632200
2003-11-19,86.42,86.62,85.56,85.62,42.59,553900
2003-11-20,86.25,86.49,85.80,86.45,43.00,373300
2003-11-21,86.58,86.93,86.50,86.50,43.03,516900
2003-11-24,86.18,86.31,85.75,85.79,42.67,573800
2003-11-25,85.95,86.52,85.95,86.26,42.91,298700
2003-11-26,86.10,86.40,85.33,85.91,42.73,613800
2003-11-28,85.35,85.40,85.13,85.13,42.35,311300
2003-12-01,84.40,84.57,83.80,84.24,42.11,1106600
2003-12-02,84.40,84.60,84.00,84.60,42.29,589100
2003-12-03,84.51,84.78,83.95,84.26,42.12,1446100
2003-12-04,84.26,84.67,84.19,84.45,42.21,561500
2003-12-05,85.30,86.23,85.12,85.80,42.89,1163800
2003-12-08,85.78,85.78,85.09,85.20,42.59,436200
2003-12-09,85.45,85.70,84.36,84.60,42.29,939200
2003-12-10,85.07,85.10,84.55,84.74,42.36,555700
2003-12-11,84.51,85.38,84.37,85.35,42.66,510500
2003-12-12,85.42,85.88,85.42,85.51,42.74,553100
2003-12-15,85.50,85.88,85.18,85.46,42.72,690000
2003-12-16,85.40,85.86,85.27,85.74,42.86,462800
2003-12-17,86.23,86.65,86.20,86.32,43.15,533100
2003-12-18,86.30,87.10,86.30,87.10,43.54,708100
2003-12-19,86.97,87.07,86.61,87.07,43.52,477600
2003-12-22,87.12,87.34,86.65,86.83,43.40,483700
2003-12-23,86.53,86.70,85.85,85.85,42.91,446600
2003-12-24,86.37,86.66,86.17,86.66,43.32,138900
2003-12-26,86.90,87.04,86.90,86.98,43.48,80500
2003-12-29,86.70,86.77,86.17,86.20,43.09,187800
2003-12-30,85.80,86.14,85.60,85.85,42.91,393900
2003-12-31,85.37,85.57,85.30,85.45,42.91,171400
2004-01-02,85.09,85.09,84.08,84.44,42.41,867100
2004-01-05,84.01,84.38,83.90,84.22,42.30,626400
2004-01-06,84.54,85.39,84.50,85.15,42.76,690500
2004-01-07,85.10,85.70,84.89,85.49,42.93,252000
